brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
GREAT VALUE CREAMY PEANUT BUTTER,113,10,10,Nuts/Edible Seed,2007,2017,8.8,2007,95,38.0,,0.0,True,61.1
OMEGA-3,36,16,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,44.4,2014,13,4.3,,0.0,True,60.0
MULTI VITAMIN,94,16,66,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,17.0,2016,52,13.0,2016.0,6.5,True,59.9
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",54,4,54,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,7.4,2017,44,44.0,2017.0,5.5,True,59.8
FLAXSEED OIL,35,13,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,37.1,2016,10,5.0,,0.0,True,59.6
WEN CLEANSING CONDITIONER,372,22,210,Cosmetics,2011,2017,5.9,2016,322,64.4,2016.0,53.7,True,59.5
WEN SHAMPOO,58,4,34,Cosmetics,2012,2017,6.9,2016,51,51.0,,0.0,True,59.5
VITAMIN D,717,220,609,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,30.7,2016,226,6.6,,0.0,True,59.4
DHEA,22,10,17,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,45.5,2014,6,4.0,,0.0,False,59.4
NATURAL ACCELERATOR,35,34,35,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2017,97.1,2015,10,2.5,,0.0,False,59.1
ALPHA LIPOIC ACID,22,13,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,59.1,2015,5,3.3,,0.0,False,59.0
REMIFEMIN TABLET (CIMICIFUGA),28,11,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2005,39.3,2004,23,4.6,,0.0,True,58.9
OMEGA 3,64,21,55,Vit/Min/Prot/Unconv Diet(Human/Animal),2007,2017,32.8,2016,20,5.7,,0.0,True,58.9
HERBALIFE FLORAFIBER,31,27,31,Vit/Min/Prot/Unconv Diet(Human/Animal),2006,2015,87.1,2011,8,2.7,,0.0,False,58.4
VITAMIN C,479,156,419,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,32.6,2016,123,5.6,,0.0,True,58.3
MULTIVITAMIN,669,245,590,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,36.6,2016,153,4.9,2008.0,7.8,True,58.0
AUSTIN PEANUT BUTTER CRACKERS,49,10,12,Bakery Prod/Dough/Mix/Icing,2009,2011,20.4,2009,44,8.8,,0.0,True,58.0
VITAMIN B12,223,85,197,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,38.1,2016,61,4.7,2012.0,6.3,True,58.0
WEN,142,6,87,Cosmetics,2015,2017,4.2,2016,138,69.0,,0.0,True,57.8
AGELESS MALE,37,12,37,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,32.4,2015,22,5.5,2015.0,5.5,True,57.7
PETER PAN CRUNCHY PEANUT BUTTER,67,8,10,Nuts/Edible Seed,2007,2016,11.9,2007,53,15.1,,0.0,True,57.6
DIET COKE,49,23,37,Soft Drink/Water,2004,2016,46.9,2004,9,3.6,,0.0,False,57.5
PETER PAN PEANUT BUTTER CREAMY,24,4,4,Nuts/Edible Seed,2007,2015,16.7,2007,20,10.0,,0.0,True,57.1
CENTRUM SILVER WOMENS 50+ MULTIMINERALS MULTIVITAMIN,79,3,79,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2014,3.8,2014,79,79.0,,0.0,True,57.0
BENEFIBER WITH WHEAT DEXTRIN,23,6,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2016,26.1,2014,14,7.0,,0.0,True,56.8
JOHNSON'S POWDER,20,2,20,Cosmetics,2016,2016,10.0,2016,20,20.0,,0.0,True,56.6
VITAMIN B,103,37,98,Vit/Min/Prot/Unconv Diet(Human/Animal),2006,2017,35.9,2016,31,4.8,,0.0,True,56.3
